loan_amount,purpose,annual_income,home_ownership,issue_date,emp_length,dti,term,Encoded Homeownership,Encoded Loan Purpose,Income Group,Term (Numeric),,,
9250,Debt consolidation,43000,MORTGAGE,10/03/2021,6 years,0.13, 36 months,2,3,Medium,36,,,
8500,Debt consolidation,45996,MORTGAGE,10/08/2021,6 years,0.2455, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,98700,MORTGAGE,11/04/2021,6 years,0.2355, 36 months,2,3,Medium,36,,,
13000,Debt consolidation,39996,MORTGAGE,10/04/2021,6 years,0.1059, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,61000,MORTGAGE,09/12/2021,6 years,0.2152, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,75000,MORTGAGE,10/04/2021,7 years,0.135, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,125000,MORTGAGE,10/04/2021,7 years,0.1165, 36 months,2,3,Medium,36,,,
4200,Debt consolidation,68500,MORTGAGE,08/05/2021,7 years,0.0851, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,46500,MORTGAGE,08/11/2021,7 years,0.057, 36 months,2,3,Medium,36,,,
2650,Debt consolidation,52000,MORTGAGE,11/06/2021,8 years,0.1048, 36 months,2,3,Medium,36,,,
17500,Debt consolidation,58000,MORTGAGE,10/05/2021,8 years,0.2081, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,35000,MORTGAGE,09/12/2021,8 years,0.1406, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,40000,MORTGAGE,09/03/2021,8 years,0.2166, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,95000,MORTGAGE,10/02/2021,9 years,0.2168, 36 months,2,3,Medium,36,,,
15600,Debt consolidation,54000,MORTGAGE,10/06/2021,9 years,0.2058, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,150000,MORTGAGE,10/02/2021,9 years,0.1249, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,98400,MORTGAGE,11/01/2021,< 1 year,0.2043, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,40500,MORTGAGE,10/11/2021,< 1 year,0.1396, 36 months,2,3,Medium,36,,,
6400,Debt consolidation,52000,MORTGAGE,08/04/2021,< 1 year,0.1698, 36 months,2,3,Medium,36,,,
18000,Debt consolidation,95004,MORTGAGE,11/01/2021,< 1 year,0.1416, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,130000,MORTGAGE,10/01/2021,< 1 year,0.2495, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,44000,MORTGAGE,09/12/2021,1 year,0.1175, 36 months,2,3,Medium,36,,,
11275,Debt consolidation,220000,MORTGAGE,11/06/2021,10+ years,0.2086, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,72000,MORTGAGE,11/09/2021,10+ years,0.1787, 36 months,2,3,Medium,36,,,
14400,Debt consolidation,102000,MORTGAGE,10/07/2021,10+ years,0.1069, 36 months,2,3,Medium,36,,,
12800,Debt consolidation,70000,MORTGAGE,10/03/2021,10+ years,0.1397, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,70000,MORTGAGE,11/10/2021,2 years,0.1344, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,36000,MORTGAGE,10/03/2021,3 years,0.1943, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,105000,MORTGAGE,10/04/2021,3 years,0.0782, 36 months,2,3,Medium,36,,,
8600,Debt consolidation,112500,MORTGAGE,10/04/2021,3 years,0.1222, 36 months,2,3,Medium,36,,,
3000,Debt consolidation,52000,MORTGAGE,10/09/2021,5 years,0.1119, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,101416,MORTGAGE,09/11/2021,9 years,0.1407, 36 months,2,3,Medium,36,,,
14100,Debt consolidation,62400,MORTGAGE,10/11/2021,10+ years,0.15, 36 months,2,3,Medium,36,,,
11125,Debt consolidation,75000,MORTGAGE,11/11/2021,4 years,0.1563, 36 months,2,3,Medium,36,,,
2500,Debt consolidation,60000,MORTGAGE,10/07/2021,6 years,0.1442, 36 months,2,3,Medium,36,,,
11500,Debt consolidation,45900,MORTGAGE,09/04/2021,10+ years,0.103, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,60000,MORTGAGE,09/11/2021,2 years,0.0642, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,34000,MORTGAGE,08/10/2021,1 year,0.1006, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,74000,MORTGAGE,10/02/2021,1 year,0.0441, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,68000,MORTGAGE,11/09/2021,1 year,0.1676, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,60000,MORTGAGE,08/04/2021,1 year,0.1922, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,100000,MORTGAGE,11/02/2021,1 year,0.219, 36 months,2,3,Medium,36,,,
2400,Debt consolidation,30996,MORTGAGE,11/02/2021,1 year,0.055, 36 months,2,3,Medium,36,,,
35000,Debt consolidation,300000,MORTGAGE,11/05/2021,1 year,0.1336, 36 months,2,3,Medium,36,,,
5500,Debt consolidation,54912,MORTGAGE,09/05/2021,10+ years,0.1755, 36 months,2,3,Medium,36,,,
7450,Debt consolidation,70600,MORTGAGE,11/03/2021,10+ years,0.033, 36 months,2,3,Medium,36,,,
1000,Debt consolidation,50000,MORTGAGE,11/01/2021,10+ years,0.2222, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,67014.48,MORTGAGE,09/12/2021,10+ years,0.1194, 36 months,2,3,Medium,36,,,
10625,Debt consolidation,25000,MORTGAGE,11/11/2021,10+ years,0.1474, 36 months,2,3,Low,36,,,
13500,Debt consolidation,59068,MORTGAGE,09/11/2021,10+ years,0.093, 36 months,2,3,Medium,36,,,
3500,Debt consolidation,36000,MORTGAGE,11/04/2021,10+ years,0.075, 36 months,2,3,Medium,36,,,
2500,Debt consolidation,43000,MORTGAGE,09/04/2021,10+ years,0.0876, 36 months,2,3,Medium,36,,,
14000,Debt consolidation,69996,MORTGAGE,11/05/2021,10+ years,0.2164, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,40000,MORTGAGE,10/03/2021,10+ years,0.1782, 36 months,2,3,Medium,36,,,
2800,Debt consolidation,66120,MORTGAGE,09/09/2021,10+ years,0.1116, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,105000,MORTGAGE,10/01/2021,10+ years,0.1118, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,35000,MORTGAGE,10/11/2021,10+ years,0.0463, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,39996,MORTGAGE,08/07/2021,10+ years,0.2463, 36 months,2,3,Medium,36,,,
7350,Debt consolidation,53000,MORTGAGE,11/07/2021,10+ years,0.2155, 36 months,2,3,Medium,36,,,
5500,Debt consolidation,80160,MORTGAGE,09/11/2021,10+ years,0.2148, 36 months,2,3,Medium,36,,,
19000,Debt consolidation,123000,MORTGAGE,09/02/2021,10+ years,0.0464, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,144000,MORTGAGE,11/04/2021,10+ years,0.1415, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,22500,MORTGAGE,11/11/2021,2 years,0.0832, 36 months,2,3,Low,36,,,
15000,Debt consolidation,76500,MORTGAGE,10/01/2021,2 years,0.2041, 36 months,2,3,Medium,36,,,
6250,Debt consolidation,50004,MORTGAGE,09/10/2021,2 years,0.2184, 36 months,2,3,Medium,36,,,
8500,Debt consolidation,24570,MORTGAGE,10/03/2021,2 years,0.1035, 36 months,2,3,Low,36,,,
16000,Debt consolidation,50000,MORTGAGE,10/03/2021,2 years,0.1517, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,120000,MORTGAGE,09/12/2021,2 years,0.2164, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,72500,MORTGAGE,09/07/2021,2 years,0.1341, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,38400,MORTGAGE,11/02/2021,3 years,0.2069, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,50000,MORTGAGE,11/11/2021,3 years,0.1248, 36 months,2,3,Medium,36,,,
2275,Debt consolidation,16000,MORTGAGE,11/03/2021,3 years,0.2198, 36 months,2,3,Low,36,,,
16000,Debt consolidation,51000,MORTGAGE,10/04/2021,3 years,0.1812, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,100000,MORTGAGE,10/10/2021,3 years,0.1894, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,72000,MORTGAGE,09/08/2021,3 years,0.2322, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,88000,MORTGAGE,10/03/2021,3 years,0.107, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,120000,MORTGAGE,11/07/2021,3 years,0.147, 36 months,2,3,Medium,36,,,
11000,Debt consolidation,75000,MORTGAGE,10/03/2021,3 years,0.0995, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,96000,MORTGAGE,10/02/2021,4 years,0.0251, 36 months,2,3,Medium,36,,,
14000,Debt consolidation,64000,MORTGAGE,10/08/2021,4 years,0.1684, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,60000,MORTGAGE,10/04/2021,4 years,0.1116, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,75000,MORTGAGE,11/10/2021,4 years,0.1173, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,195000,MORTGAGE,10/03/2021,4 years,0.1542, 36 months,2,3,Medium,36,,,
14000,Debt consolidation,45000,MORTGAGE,10/02/2021,4 years,0.0917, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,70000,MORTGAGE,09/05/2021,4 years,0.2391, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,97200,MORTGAGE,08/04/2021,4 years,0.197, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,60000,MORTGAGE,09/07/2021,5 years,0.0664, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,40000,MORTGAGE,11/12/2021,5 years,0.1365, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,420000,MORTGAGE,10/02/2021,5 years,0.0201, 36 months,2,3,Medium,36,,,
8400,Debt consolidation,42996,MORTGAGE,11/07/2021,5 years,0.0706, 36 months,2,3,Medium,36,,,
12500,Debt consolidation,60000,MORTGAGE,10/03/2021,5 years,0.1822, 36 months,2,3,Medium,36,,,
3000,Debt consolidation,21000,MORTGAGE,11/03/2021,5 years,0.084, 36 months,2,3,Low,36,,,
13200,Debt consolidation,90888,MORTGAGE,11/05/2021,5 years,0.188, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,42000,MORTGAGE,11/06/2021,5 years,0.2194, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,75000,MORTGAGE,10/12/2021,6 years,0.1533, 36 months,2,3,Medium,36,,,
6250,Debt consolidation,28800,MORTGAGE,11/09/2021,6 years,0.2367, 36 months,2,3,Low,36,,,
11200,Debt consolidation,50000,MORTGAGE,11/11/2021,6 years,0.1351, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,52800,MORTGAGE,10/09/2021,6 years,0.2123, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,65000,MORTGAGE,09/05/2021,6 years,0.1375, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,55000,MORTGAGE,11/12/2021,6 years,0.2269, 36 months,2,3,Medium,36,,,
13000,Debt consolidation,60000,MORTGAGE,11/02/2021,6 years,0.1518, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,55680,MORTGAGE,10/02/2021,7 years,0.1478, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,54000,MORTGAGE,10/01/2021,7 years,0.1556, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,75000,MORTGAGE,11/09/2021,7 years,0.1629, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,53712,MORTGAGE,11/02/2021,7 years,0.1725, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,80000,MORTGAGE,11/06/2021,7 years,0.1053, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,81996,MORTGAGE,10/06/2021,7 years,0.1139, 36 months,2,3,Medium,36,,,
7800,Debt consolidation,42000,MORTGAGE,10/05/2021,8 years,0.1757, 36 months,2,3,Medium,36,,,
1800,Debt consolidation,52000,MORTGAGE,10/11/2021,8 years,0.0891, 36 months,2,3,Medium,36,,,
14500,Debt consolidation,38000,MORTGAGE,09/05/2021,9 years,0.1866, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,45600,MORTGAGE,11/10/2021,9 years,0.0897, 36 months,2,3,Medium,36,,,
18000,Debt consolidation,53000,MORTGAGE,11/01/2021,9 years,0.2101, 36 months,2,3,Medium,36,,,
4200,Debt consolidation,65000,MORTGAGE,11/09/2021,9 years,0.2291, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,55640.62,MORTGAGE,09/09/2021,9 years,0.0817, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,99000,MORTGAGE,10/05/2021,9 years,0.1017, 36 months,2,3,Medium,36,,,
25000,Debt consolidation,80000,MORTGAGE,10/03/2021,< 1 year,0.1224, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,34000,MORTGAGE,09/12/2021,< 1 year,0.2142, 36 months,2,3,Medium,36,,,
13000,Debt consolidation,65004,MORTGAGE,10/07/2021,< 1 year,0.2202, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,90000,MORTGAGE,09/12/2021,< 1 year,0.2243, 36 months,2,3,Medium,36,,,
3000,Debt consolidation,35500,MORTGAGE,08/08/2021,< 1 year,0.2278, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,100000,MORTGAGE,09/12/2021,< 1 year,0.2128, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,43680,MORTGAGE,10/03/2021,< 1 year,0.1734, 36 months,2,3,Medium,36,,,
1200,Debt consolidation,52000,MORTGAGE,10/10/2021,< 1 year,0.0762, 36 months,2,3,Medium,36,,,
17600,Debt consolidation,121000,MORTGAGE,09/12/2021,< 1 year,0.2383, 36 months,2,3,Medium,36,,,
6600,Debt consolidation,30000,MORTGAGE,10/04/2021,< 1 year,0.2316, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,45000,MORTGAGE,09/11/2021,< 1 year,0.1576, 36 months,2,3,Medium,36,,,
11300,Debt consolidation,70000,MORTGAGE,11/12/2021,1 year,0.0585, 36 months,2,3,Medium,36,,,
13750,Debt consolidation,30000,MORTGAGE,10/03/2021,10+ years,0.1888, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,48000,MORTGAGE,10/05/2021,2 years,0.1938, 36 months,2,3,Medium,36,,,
5500,Debt consolidation,42240,MORTGAGE,10/03/2021,3 years,0.1335, 36 months,2,3,Medium,36,,,
9000,Debt consolidation,138000,MORTGAGE,08/08/2021,3 years,0.19, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,36000,MORTGAGE,10/10/2021,6 years,0.185, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,50000,MORTGAGE,11/07/2021,7 years,0.1541, 36 months,2,3,Medium,36,,,
1800,Debt consolidation,70000,MORTGAGE,11/11/2021,8 years,0.1615, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,93000,MORTGAGE,11/05/2021,9 years,0.1895, 36 months,2,3,Medium,36,,,
14000,Debt consolidation,74000,MORTGAGE,09/12/2021,10+ years,0.2191, 36 months,2,3,Medium,36,,,
8500,Debt consolidation,43000,MORTGAGE,08/12/2021,2 years,0.101, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,73000,MORTGAGE,10/03/2021,5 years,0.1355, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,50000,MORTGAGE,11/12/2021,8 years,0.2386, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,33685,MORTGAGE,10/05/2021,9 years,0.2148, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,97000,MORTGAGE,09/09/2021,10+ years,0.1696, 36 months,2,3,Medium,36,,,
10125,Debt consolidation,300000,MORTGAGE,11/07/2021,10+ years,0.1551, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,44000,MORTGAGE,11/09/2021,2 years,0.2029, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,132000,MORTGAGE,11/10/2021,3 years,0.0883, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,36000,MORTGAGE,10/05/2021,4 years,0.1443, 36 months,2,3,Medium,36,,,
3000,Debt consolidation,70000,MORTGAGE,09/12/2021,< 1 year,0.0569, 36 months,2,3,Medium,36,,,
21000,Debt consolidation,70224,MORTGAGE,09/10/2021,1 year,0.2059, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,102000,MORTGAGE,09/03/2021,1 year,0.1246, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,90000,MORTGAGE,08/10/2021,1 year,0.074, 36 months,2,3,Medium,36,,,
5100,Debt consolidation,34000,MORTGAGE,10/09/2021,1 year,0.1645, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,75000,MORTGAGE,11/12/2021,10+ years,0.0485, 36 months,2,3,Medium,36,,,
14400,Debt consolidation,57000,MORTGAGE,11/08/2021,10+ years,0.1046, 36 months,2,3,Medium,36,,,
25000,Debt consolidation,121000,MORTGAGE,10/02/2021,10+ years,0.2163, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,79416,MORTGAGE,11/10/2021,10+ years,0.0624, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,50000,MORTGAGE,08/09/2021,10+ years,0.2045, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,87600,MORTGAGE,11/08/2021,10+ years,0.1649, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,181000,MORTGAGE,10/02/2021,10+ years,0.0918, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,115000,MORTGAGE,10/02/2021,10+ years,0.1401, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,44991.48,MORTGAGE,10/10/2021,10+ years,0.04, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,75000,MORTGAGE,10/12/2021,2 years,0.1147, 36 months,2,3,Medium,36,,,
8400,Debt consolidation,63000,MORTGAGE,10/05/2021,2 years,0.1815, 36 months,2,3,Medium,36,,,
12600,Debt consolidation,62400,MORTGAGE,10/05/2021,2 years,0.1081, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,56000,MORTGAGE,11/09/2021,2 years,0.2406, 36 months,2,3,Medium,36,,,
9000,Debt consolidation,130000,MORTGAGE,10/05/2021,3 years,0.0621, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,94965,MORTGAGE,09/12/2021,3 years,0.1855, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,43200,MORTGAGE,10/11/2021,3 years,0.1586, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,83135,MORTGAGE,11/07/2021,3 years,0.1443, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,115000,MORTGAGE,11/09/2021,3 years,0.0601, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,62892,MORTGAGE,08/04/2021,4 years,0.2183, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,100000,MORTGAGE,11/11/2021,4 years,0.2041, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,85000,MORTGAGE,11/11/2021,4 years,0.106, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,96000,MORTGAGE,10/04/2021,4 years,0.1497, 36 months,2,3,Medium,36,,,
11000,Debt consolidation,36400,MORTGAGE,08/03/2021,4 years,0.116, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,39216,MORTGAGE,11/05/2021,5 years,0.0994, 36 months,2,3,Medium,36,,,
2500,Debt consolidation,38500,MORTGAGE,10/01/2021,5 years,0.135, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,50000,MORTGAGE,11/02/2021,5 years,0.095, 36 months,2,3,Medium,36,,,
8000,Debt consolidation,70000,MORTGAGE,11/01/2021,5 years,0.1131, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,48996,MORTGAGE,11/07/2021,5 years,0.1423, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,51000,MORTGAGE,10/04/2021,6 years,0.0784, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,60000,MORTGAGE,09/12/2021,7 years,0.1086, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,73200,MORTGAGE,09/12/2021,7 years,0.0166, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,120000,MORTGAGE,11/10/2021,7 years,0.0949, 36 months,2,3,Medium,36,,,
6400,Debt consolidation,63000,MORTGAGE,11/06/2021,7 years,0.1131, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,72000,MORTGAGE,11/03/2021,7 years,0.1427, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,72000,MORTGAGE,11/11/2021,8 years,0.0868, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,68000,MORTGAGE,09/04/2021,9 years,0.219, 36 months,2,3,Medium,36,,,
1400,Debt consolidation,40000,MORTGAGE,09/09/2021,9 years,0.1383, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,87000,MORTGAGE,10/05/2021,< 1 year,0.1607, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,46500,MORTGAGE,09/03/2021,< 1 year,0.217, 36 months,2,3,Medium,36,,,
21600,Debt consolidation,313000,MORTGAGE,09/11/2021,< 1 year,0.1049, 36 months,2,3,Medium,36,,,
2500,Debt consolidation,38000,MORTGAGE,09/11/2021,< 1 year,0.156, 36 months,2,3,Medium,36,,,
14000,Debt consolidation,70000,MORTGAGE,10/10/2021,< 1 year,0.1958, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,33600,MORTGAGE,09/11/2021,10+ years,0.1071, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,84500,MORTGAGE,11/09/2021,10+ years,0.1176, 36 months,2,3,Medium,36,,,
5500,Debt consolidation,28900,MORTGAGE,10/11/2021,2 years,0.0864, 36 months,2,3,Low,36,,,
15000,Debt consolidation,77000,MORTGAGE,08/03/2021,2 years,0.1939, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,100000,MORTGAGE,09/11/2021,4 years,0.098, 36 months,2,3,Medium,36,,,
6500,Debt consolidation,115000,MORTGAGE,10/08/2021,4 years,0.1677, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,90000,MORTGAGE,10/01/2021,< 1 year,0.1375, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,88500,MORTGAGE,11/08/2021,2 years,0.2016, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,60000,MORTGAGE,10/07/2021,7 years,0.2102, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,62000,MORTGAGE,08/10/2021,< 1 year,0.2243, 36 months,2,3,Medium,36,,,
9600,Debt consolidation,62500,MORTGAGE,09/10/2021,1 year,0.1576, 36 months,2,3,Medium,36,,,
9000,Debt consolidation,65100,MORTGAGE,11/06/2021,1 year,0.1301, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,31000,MORTGAGE,09/06/2021,1 year,0.1978, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,78000,MORTGAGE,10/02/2021,10+ years,0.1615, 36 months,2,3,Medium,36,,,
16000,Debt consolidation,89000,MORTGAGE,09/11/2021,10+ years,0.0566, 36 months,2,3,Medium,36,,,
10525,Debt consolidation,48996,MORTGAGE,10/10/2021,10+ years,0.059, 36 months,2,3,Medium,36,,,
1600,Debt consolidation,41508,MORTGAGE,10/02/2021,10+ years,0.1899, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,90000,MORTGAGE,10/02/2021,2 years,0.116, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,62000,MORTGAGE,09/09/2021,2 years,0.1779, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,53004,MORTGAGE,11/01/2021,2 years,0.2009, 36 months,2,3,Medium,36,,,
4900,Debt consolidation,80000,MORTGAGE,11/11/2021,2 years,0.0807, 36 months,2,3,Medium,36,,,
15600,Debt consolidation,180000,MORTGAGE,08/04/2021,2 years,0.0665, 36 months,2,3,Medium,36,,,
6000,Debt consolidation,30000,MORTGAGE,10/08/2021,3 years,0.2008, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,114400,MORTGAGE,10/02/2021,3 years,0.1467, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,54000,MORTGAGE,11/08/2021,3 years,0.2378, 36 months,2,3,Medium,36,,,
9000,Debt consolidation,58000,MORTGAGE,09/10/2021,4 years,0.169, 36 months,2,3,Medium,36,,,
14400,Debt consolidation,75000,MORTGAGE,10/01/2021,4 years,0.1624, 36 months,2,3,Medium,36,,,
12000,Debt consolidation,90000,MORTGAGE,10/02/2021,5 years,0.2275, 36 months,2,3,Medium,36,,,
1500,Debt consolidation,92700,MORTGAGE,11/11/2021,5 years,0.0264, 36 months,2,3,Medium,36,,,
1500,Debt consolidation,29000,MORTGAGE,08/03/2021,5 years,0.0418, 36 months,2,3,Low,36,,,
18200,Debt consolidation,55900,MORTGAGE,09/12/2021,5 years,0.1565, 36 months,2,3,Medium,36,,,
9000,Debt consolidation,57000,MORTGAGE,11/08/2021,6 years,0.1571, 36 months,2,3,Medium,36,,,
3500,Debt consolidation,38500,MORTGAGE,10/09/2021,7 years,0.168, 36 months,2,3,Medium,36,,,
15850,Debt consolidation,50000,MORTGAGE,09/08/2021,8 years,0.2266, 36 months,2,3,Medium,36,,,
3600,Debt consolidation,75996,MORTGAGE,09/11/2021,< 1 year,0.0158, 36 months,2,3,Medium,36,,,
4000,Debt consolidation,40000,MORTGAGE,10/02/2021,< 1 year,0.0936, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,118000,MORTGAGE,09/12/2021,< 1 year,0.2198, 36 months,2,3,Medium,36,,,
4800,Debt consolidation,136000,MORTGAGE,10/10/2021,< 1 year,0.209, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,91000,MORTGAGE,08/06/2021,10+ years,0.0789, 36 months,2,3,Medium,36,,,
5000,Debt consolidation,48000,MORTGAGE,08/04/2021,2 years,0.1303, 36 months,2,3,Medium,36,,,
7000,Debt consolidation,51888,MORTGAGE,10/07/2021,10+ years,0.228, 36 months,2,3,Medium,36,,,
5600,Debt consolidation,130000,MORTGAGE,09/10/2021,1 year,0.0694, 36 months,2,3,Medium,36,,,
17000,Debt consolidation,60000,MORTGAGE,10/03/2021,1 year,0.2058, 36 months,2,3,Medium,36,,,
10000,Debt consolidation,42000,MORTGAGE,10/04/2021,10+ years,0.2117, 36 months,2,3,Medium,36,,,
6625,Debt consolidation,55000,MORTGAGE,11/10/2021,10+ years,0.2496, 36 months,2,3,Medium,36,,,
24250,Debt consolidation,67000,MORTGAGE,09/12/2021,10+ years,0.2174, 36 months,2,3,Medium,36,,,
3500,Debt consolidation,40000,MORTGAGE,10/09/2021,10+ years,0.0072, 36 months,2,3,Medium,36,,,
25000,Debt consolidation,80000,MORTGAGE,10/03/2021,10+ years,0.2257, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,100000,MORTGAGE,10/01/2021,10+ years,0.1891, 36 months,2,3,Medium,36,,,
4800,Debt consolidation,98000,MORTGAGE,09/11/2021,10+ years,0.0606, 36 months,2,3,Medium,36,,,
20000,Debt consolidation,66000,MORTGAGE,08/03/2021,2 years,0.134, 36 months,2,3,Medium,36,,,
7400,Debt consolidation,71000,MORTGAGE,10/07/2021,2 years,0.1783, 36 months,2,3,Medium,36,,,
15000,Debt consolidation,60000,MORTGAGE,10/11/2021,2 years,0.1556, 36 months,2,3,Medium,36,,,
25000,Debt consolidation,103000,MORTGAGE,10/03/2021,2 years,0.2311, 36 months,2,3,Medium,36,,,
7500,Debt consolidation,62000,MORTGAGE,08/05/2021,2 years,0.1924, 36 months,2,3,Medium,36,,,
